ecrivain_1,ecrivain_2,requete_1,requete_2,count,base1,base2,ratio_1,ratio_2,ratio_moy
Abetz, Carbone-Lorraine,Abetz,%20Carbone%20Lorraine,0,1974,149,0,0,0
Abel Bonnard, Carbone-Lorraine,Abel%20Bonnard,%20Carbone%20Lorraine,0,4569,149,0,0,0
Abetz,Abel Bonnard,Abetz,Abel%20Bonnard,44,1974,4569,0.022289766970618,0.00963011599912453,0.0159599414848713
 Carbone-Lorraine,Abel Hermant,%20Carbone%20Lorraine,Abel%20Hermant,0,149,666,0,0,0
Abetz,Abel Hermant,Abetz,Abel%20Hermant,0,1974,666,0,0,0
Abel Bonnard,Abel Hermant,Abel%20Bonnard,Abel%20Hermant,101,4569,666,0.022105493543445,0.151651651651652,0.0868785725975483
 Carbone-Lorraine,Adrien Marquet,%20Carbone%20Lorraine,Adrien%20Marquet,0,149,1158,0,0,0
Abetz,Adrien Marquet,Abetz,Adrien%20Marquet,1,1974,1158,0.000506585612968592,0.000863557858376511,0.000685071735672552
Abel Bonnard,Adrien Marquet,Abel%20Bonnard,Adrien%20Marquet,3,4569,1158,0.000656598818122127,0.00259067357512953,0.00162363619662583
Abel Hermant,Adrien Marquet,Abel%20Hermant,Adrien%20Marquet,0,666,1158,0,0,0
Ajalbert, Carbone-Lorraine,Ajalbert,%20Carbone%20Lorraine,0,344,149,0,0,0
Abetz,Ajalbert,Abetz,Ajalbert,0,1974,344,0,0,0
Ajalbert,Abel Bonnard,Ajalbert,Abel%20Bonnard,0,344,4569,0,0,0
Ajalbert,Abel Hermant,Ajalbert,Abel%20Hermant,0,344,666,0,0,0
Ajalbert,Adrien Marquet,Ajalbert,Adrien%20Marquet,0,344,1158,0,0,0
 Carbone-Lorraine,Alain Laubreaux,%20Carbone%20Lorraine,Alain%20Laubreaux,0,149,376,0,0,0
Abetz,Alain Laubreaux,Abetz,Alain%20Laubreaux,3,1974,376,0.00151975683890578,0.00797872340425532,0.00474924012158055
Abel Bonnard,Alain Laubreaux,Abel%20Bonnard,Alain%20Laubreaux,3,4569,376,0.000656598818122127,0.00797872340425532,0.00431766111118872
Abel Hermant,Alain Laubreaux,Abel%20Hermant,Alain%20Laubreaux,2,666,376,0.003003003003003,0.00531914893617021,0.00416107596958661
Alain Laubreaux,Adrien Marquet,Alain%20Laubreaux,Adrien%20Marquet,0,376,1158,0,0,0
Ajalbert,Alain Laubreaux,Ajalbert,Alain%20Laubreaux,0,344,376,0,0,0
 Carbone-Lorraine,Albert Clément,%20Carbone%20Lorraine,Albert%20Clément,0,149,992,0,0,0
Abetz,Albert Clément,Abetz,Albert%20Clément,0,1974,992,0,0,0
Abel Bonnard,Albert Clément,Abel%20Bonnard,Albert%20Clément,4,4569,992,0.000875465090829503,0.00403225806451613,0.00245386157767282
Albert Clément,Abel Hermant,Albert%20Clément,Abel%20Hermant,1,992,666,0.00100806451612903,0.0015015015015015,0.00125478300881527
Albert Clément,Adrien Marquet,Albert%20Clément,Adrien%20Marquet,0,992,1158,0,0,0
Ajalbert,Albert Clément,Ajalbert,Albert%20Clément,0,344,992,0,0,0
Albert Clément,Alain Laubreaux,Albert%20Clément,Alain%20Laubreaux,0,992,376,0,0,0
 Carbone-Lorraine,Albert Préjean,%20Carbone%20Lorraine,Albert%20Préjean,0,149,2007,0,0,0
Abetz,Albert Préjean,Abetz,Albert%20Préjean,0,1974,2007,0,0,0
Abel Bonnard,Albert Préjean,Abel%20Bonnard,Albert%20Préjean,0,4569,2007,0,0,0
Abel Hermant,Albert Préjean,Abel%20Hermant,Albert%20Préjean,0,666,2007,0,0,0
Adrien Marquet,Albert Préjean,Adrien%20Marquet,Albert%20Préjean,0,1158,2007,0,0,0
Ajalbert,Albert Préjean,Ajalbert,Albert%20Préjean,1,344,2007,0.00290697674418605,0.00049825610363727,0.00170261642391166
Alain Laubreaux,Albert Préjean,Alain%20Laubreaux,Albert%20Préjean,0,376,2007,0,0,0
Albert Clément,Albert Préjean,Albert%20Clément,Albert%20Préjean,0,992,2007,0,0,0
 Carbone-Lorraine,Albert Rivaud,%20Carbone%20Lorraine,Albert%20Rivaud,0,149,200,0,0,0
Abetz,Albert Rivaud,Abetz,Albert%20Rivaud,0,1974,200,0,0,0
Abel Bonnard,Albert Rivaud,Abel%20Bonnard,Albert%20Rivaud,1,4569,200,0.000218866272707376,0.005,0.00260943313635369
Abel Hermant,Albert Rivaud,Abel%20Hermant,Albert%20Rivaud,0,666,200,0,0,0
Adrien Marquet,Albert Rivaud,Adrien%20Marquet,Albert%20Rivaud,1,1158,200,0.000863557858376511,0.005,0.00293177892918826
Ajalbert,Albert Rivaud,Ajalbert,Albert%20Rivaud,0,344,200,0,0,0
Alain Laubreaux,Albert Rivaud,Alain%20Laubreaux,Albert%20Rivaud,0,376,200,0,0,0
Albert Clément,Albert Rivaud,Albert%20Clément,Albert%20Rivaud,0,992,200,0,0,0
Albert Préjean,Albert Rivaud,Albert%20Préjean,Albert%20Rivaud,0,2007,200,0,0,0
 Carbone-Lorraine,Alexandre Zévaès,%20Carbone%20Lorraine,Alexandre%20Zévaès,0,149,148,0,0,0
Abetz,Alexandre Zévaès,Abetz,Alexandre%20Zévaès,0,1974,148,0,0,0
Abel Bonnard,Alexandre Zévaès,Abel%20Bonnard,Alexandre%20Zévaès,0,4569,148,0,0,0
